Jugador (ID),Distancia (m),Tiempo (s),Vel. prom (km/h),Vel. max (km/h)
11,129.0,29.9,15.5,36.9
21,120.7,29.9,14.5,37.6
17,119.9,30.0,14.4,37.2
12,115.7,30.0,13.9,32.5
16,112.8,29.8,13.6,38.0
22,107.5,30.0,12.9,30.7
10,105.7,30.0,12.7,29.2
2,104.2,30.0,12.5,32.4
5,103.9,30.0,12.5,38.3
9,103.6,30.0,12.4,36.6
14,103.1,29.8,12.4,36.7
19,102.1,30.0,12.3,38.2
8,101.8,30.0,12.2,30.8
18,98.4,29.8,11.9,32.4
1,91.2,30.0,10.9,32.0
3,90.1,30.0,10.8,29.0
7,86.8,30.0,10.4,34.8
15,83.7,30.0,10.0,41.4
13,54.3,22.6,8.7,27.3
4,48.5,20.0,8.7,23.1
30,43.8,10.0,15.8,34.3
20,23.3,9.1,9.2,29.6
