Jugador (ID),Distancia (m),Tiempo (s),Vel. prom (km/h),Vel. max (km/h)
8,39.4,12.0,11.8,30.0
18,38.6,12.0,11.6,24.4
7,38.1,12.0,11.4,20.7
21,32.7,11.4,10.4,19.9
16,31.1,12.0,9.3,20.0
5,30.8,12.0,9.2,17.7
9,30.4,6.0,18.3,24.9
3,30.0,12.0,9.0,18.9
13,29.9,12.0,9.0,28.3
11,29.7,12.0,8.9,19.2
6,29.6,12.0,8.9,14.9
2,29.1,11.9,8.8,19.0
17,28.3,12.0,8.5,18.1
22,27.9,9.7,10.4,20.5
10,26.3,12.0,7.9,17.9
14,23.3,12.0,7.0,13.7
19,21.9,12.0,6.6,11.8
4,21.4,12.0,6.4,11.3
1,18.4,12.0,5.5,12.4
20,17.6,7.8,8.1,13.3
24,15.8,5.7,10.0,14.5
23,10.1,6.1,6.0,19.8
