Jugador (ID),Distancia (m),Tiempo (s),Vel. prom (km/h),Vel. max (km/h)
15,55.5,12.0,16.6,28.6
14,55.1,11.8,16.8,30.7
9,53.7,12.0,16.1,26.5
4,51.8,12.0,15.5,28.3
22,48.4,8.8,19.8,30.2
8,47.6,10.2,16.7,30.8
19,46.7,12.0,14.0,32.3
13,42.1,12.0,12.6,24.9
21,38.2,8.3,16.5,29.0
6,34.0,8.7,14.0,21.4
16,33.8,12.0,10.1,21.4
1,33.7,11.4,10.7,25.4
7,33.2,6.3,18.9,30.3
17,31.7,8.6,13.2,23.7
11,31.1,12.0,9.3,19.5
20,28.5,12.0,8.6,21.1
12,27.4,12.0,8.2,16.6
2,26.3,12.0,7.9,21.2
10,15.3,5.4,10.2,16.6
23,14.3,8.7,5.9,16.7
