Jugador (ID),Distancia (m),Tiempo (s),Vel. prom (km/h),Vel. max (km/h)
14,34.1,24.7,5.0,14.7
5,27.9,25.0,4.0,11.3
4,26.8,16.7,5.8,11.0
1,22.7,25.0,3.3,5.8
35,22.3,18.4,4.4,13.6
20,20.8,23.0,3.2,7.1
8,19.8,8.7,8.2,22.2
33,18.0,19.7,3.3,7.6
47,15.8,14.7,3.9,9.1
52,15.0,13.5,4.0,6.5
2,14.1,7.3,6.9,29.8
3,13.6,7.8,6.2,21.1
46,13.4,6.0,8.0,15.5
7,12.9,16.0,2.9,6.1
72,10.4,6.5,5.8,15.2
10,9.9,10.0,3.6,7.1
60,9.3,5.3,6.3,10.4
69,9.0,7.5,4.3,9.5
71,8.4,6.8,4.4,7.6
29,8.4,5.8,5.2,11.9
74,6.5,5.5,4.3,7.0
76,5.8,5.5,3.8,5.2
27,5.3,5.0,3.8,5.9
43,5.0,5.2,3.5,8.3
75,3.9,6.0,2.3,4.3
