Jugador (ID),Distancia (m),Tiempo (s),Vel. prom (km/h),Vel. max (km/h)
15,31.6,23.9,4.8,13.5
19,28.5,23.9,4.3,11.4
21,28.4,16.2,6.3,15.7
12,24.8,25.0,3.6,8.2
13,22.6,16.2,5.0,9.5
3,21.4,25.0,3.1,8.6
41,20.5,10.8,6.8,16.7
20,20.3,25.0,2.9,5.2
38,18.5,16.2,4.1,10.2
26,17.7,21.0,3.0,7.6
32,16.9,11.0,5.5,12.4
48,16.7,13.0,4.6,10.3
33,16.1,8.7,6.7,11.8
44,15.9,13.7,4.2,6.9
11,14.4,14.8,3.5,8.0
14,12.8,6.2,7.5,10.0
4,11.8,7.5,5.7,7.9
66,11.8,7.5,5.7,10.6
37,11.5,5.7,7.3,15.4
6,11.0,14.5,2.7,5.4
16,10.9,10.5,3.7,7.7
62,10.6,8.8,4.3,8.5
68,10.2,6.3,5.8,10.0
17,10.1,5.7,6.4,10.8
56,9.6,6.2,5.6,15.2
63,9.4,8.3,4.1,7.2
61,8.3,7.5,4.0,8.3
9,8.1,5.0,5.8,8.7
67,7.2,5.7,4.6,7.7
1,6.6,5.7,4.2,5.5
8,6.6,8.5,2.8,6.4
18,6.0,6.0,3.6,7.6
70,5.4,7.2,2.7,4.4
28,5.2,6.5,2.9,5.8
59,4.5,8.0,2.0,3.6
31,3.8,5.3,2.6,5.7
