Frames difíciles para 0bfacc_0
==================================================

Frame     0 | Conf: 0.38 | low_ball_conf+low_pitch_conf
Frame     2 | Conf: 0.50 | low_pitch_conf
Frame    94 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame    96 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   126 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   146 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   148 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   154 | Conf: 0.42 | low_ball_conf+low_pitch_conf
Frame   156 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   208 | Conf: 0.42 | low_ball_conf+low_pitch_conf
Frame   260 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   268 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   272 | Conf: 0.42 | low_ball_conf+low_pitch_conf
Frame   274 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   276 | Conf: 0.42 | low_ball_conf+low_pitch_conf
Frame   284 | Conf: 0.50 | low_ball_conf+low_pitch_conf
Frame   286 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   292 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   298 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   304 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   306 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   316 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   326 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   328 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   336 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   344 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   354 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   360 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   362 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   368 | Conf: 0.49 | low_ball_conf+low_pitch_conf
Frame   370 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   372 | Conf: 0.41 | low_ball_conf+low_pitch_conf
Frame   380 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   382 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   384 | Conf: 0.40 | low_ball_conf+low_pitch_conf
Frame   386 | Conf: 0.39 | low_ball_conf+low_pitch_conf
Frame   392 | Conf: 0.39 | low_ball_conf+low_pitch_conf
