Frames difíciles para 573e61_0
==================================================

Frame     2 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame     4 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame     6 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame     8 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    12 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    14 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    16 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    18 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    20 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame    22 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    24 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    26 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    34 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame    36 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame    38 | Conf: 0.44 | low_ball_conf+low_pitch_conf
Frame    44 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    46 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    48 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    50 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame    54 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    58 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame    66 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    68 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    70 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    72 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    86 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    88 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame    90 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame    92 | Conf: 0.47 | low_ball_conf+low_pitch_conf
Frame    96 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   100 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   106 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   110 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame   112 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame   114 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   116 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   118 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame   120 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   122 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   124 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame   130 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   132 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame   134 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   136 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   140 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   142 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   144 | Conf: 0.46 | low_ball_conf+low_pitch_conf
Frame   152 | Conf: 0.45 | low_ball_conf+low_pitch_conf
Frame   154 | Conf: 0.44 | low_ball_conf+low_pitch_conf
Frame   156 | Conf: 0.45 | low_ball_conf+low_pitch_conf
