FRAMES DIFÍCILES
============================================================

Frame     0 | Score: 0.38 | low_ball_conf+low_pitch_conf
Frame     1 | Score: 0.38 | low_ball_conf+low_pitch_conf
Frame     2 | Score: 0.49 | low_pitch_conf
Frame    93 | Score: 0.39 | low_ball_conf+low_pitch_conf
Frame    94 | Score: 0.39 | low_ball_conf+low_pitch_conf
Frame    95 | Score: 0.39 | low_ball_conf+low_pitch_conf
Frame    96 | Score: 0.40 | low_ball_conf+low_pitch_conf
Frame    97 | Score: 0.40 | low_ball_conf+low_pitch_conf
Frame   126 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   127 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   145 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   146 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   147 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   148 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   153 | Score: 0.39 | low_ball_conf+low_pitch_conf
Frame   154 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   155 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   156 | Score: 0.40 | low_ball_conf+low_pitch_conf
Frame   157 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   207 | Score: 0.42 | low_ball_conf+low_pitch_conf
Frame   208 | Score: 0.42 | low_ball_conf+low_pitch_conf
Frame   209 | Score: 0.42 | low_ball_conf+low_pitch_conf
Frame   257 | Score: 0.41 | low_ball_conf+low_pitch_conf
Frame   260 | Score: 0.40 | low_ball_conf+low_pitch_conf
Frame   263 | Score: 0.40 | low_ball_conf+low_pitch_conf
Frame   268 | Score: 0.40 | low_ball_conf+low_pitch_conf
Frame   272 | Score: 0.42 | low_ball_conf+low_pitch_conf
Frame   273 | Score: 0.42 | low_ball_conf+low_pitch_conf
Frame   274 | Score: 0.42 | low_ball_conf+low_pitch_conf
Frame   275 | Score: 0.42 | low_ball_conf+low_pitch_conf
